text,date,location,polarity,subjectivity,classification
Boost for the COVID19 booster programme as first patients are dosed with  and  new vaccine…,Mon Jun 28 11:03:01 +0000 2021,"London, England",0.19318181818181818,0.3939393939393939,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third…,Mon Jun 28 11:03:03 +0000 2021,"London, UK",0.1,0.3,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:12 +0000 2021,"Middlesbrough, England",0.05,0.15,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:17 +0000 2021,"Sheffield, England",0.05,0.15,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:20 +0000 2021,"Edinburgh, Scotland",0.05,0.15,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:20 +0000 2021,"England, United Kingdom",0.05,0.15,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:25 +0000 2021,United Kingdom,0.05,0.15,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:28 +0000 2021,"Derby, England",0.05,0.15,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:28 +0000 2021,"Ashbury, England",0.05,0.15,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:37 +0000 2021,England,0.05,0.15,Positive
…,Mon Jun 28 11:03:46 +0000 2021,City of London,0.0,0.0,Neutral
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:47 +0000 2021,"Barnsley, England",0.05,0.15,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:50 +0000 2021,"Lytham St. Annes, England",0.05,0.15,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:03:52 +0000 2021,"Standish, Gtr Manchester",0.05,0.15,Positive
New research carried out by Oxford University suggests a third shot of the Oxford/AstraZeneca vaccine could be used…,Mon Jun 28 11:03:52 +0000 2021,UK,0.06818181818181818,0.22727272727272727,Positive
Congratulations to Harriet McNicholl - National Undergraduate Placement Student of the Year 2021,,,,,
"Harriet (University of Liv…""",Wed Jun 30 08:35:04 +0000 2021,"London, UK",0.0,0.0,Neutral
Don’t forget we are at The Golf pavilion car park at Heaton Park again tomorrow. ,,,,,
9.30am-3.30pm! 💉,,,,,
"Pfizer &amp; AstraZenec…""",Wed Jun 30 08:35:07 +0000 2021,Manchester 🐝,0.0,0.0,Neutral
"‼️Walk in, no appointment needed, 2nd dose Astra Zeneca clinic TODAY (Wed 30 Jun)‼️",,,,,
"Fairfield General Hospital (Education…""",Wed Jun 30 08:35:20 +0000 2021,Manchester 🐝,0.02500000000000001,0.25,Positive
This is not correct. UK gov allows under 40s to get AZ if they wish. Pfizer/Moderna are the preferred options,Wed Jun 30 08:35:23 +0000 2021,"Sydney, New South Wales",0.0,0.0,Neutral
Isn’t this a strange disconnect Since when does a celebrated ‘vaccine’ only provide “protection against symptoms”? No much of…,Wed Jun 30 08:35:28 +0000 2021,uk,0.049999999999999996,0.525,Positive
Anyone 18+ can get 1st or 2nd AstraZeneca or Pfizer vaccinations this week at our pop up site. 2nd jab given 8 weeks a…,Wed Jun 30 08:35:35 +0000 2021,Manchester 🐝,0.0,0.0,Neutral
"ASTRA ZENECA OFFICIAL REPOED DEATHS AND REACTIONS. These now stand at 904 deaths and 745,965 reactions including 10,…",Wed Jun 30 08:35:43 +0000 2021,"England, United Kingdom",0.0,0.0,Neutral
Great to have Katja join the group this week as we get our  funded project up and running alongside…,Wed Jun 30 08:35:45 +0000 2021,"Glasgow, Scotland",0.8,0.75,Positive
