text,date,location,polarity,subjectivity,classification
Here we go again. Black folks doing more with less! ✊🏾🔥🚀,Mon Jun 28 10:55:18 +0000 2021,Boulder CO,0.041666666666666685,0.3333333333333333,Positive
The virus is here to live with us. But we need to learn to live with it.,,,,,
Recently," 's press release regarding t…""",Mon Jun 28 10:57:05 +0000 2021,New Jersey,0.0909090909090909,0.4166666666666667
Here we go again. Black folks doing more with less! ✊🏾🔥🚀,Mon Jun 28 10:57:20 +0000 2021,"Atlanta, GA",0.041666666666666685,0.3333333333333333,Positive
6) wouldn’t it be wise for the CDC and MOHs of each country to take the precautionary principle and require masks again amo…,Mon Jun 28 10:59:06 +0000 2021,United States,0.7,0.9,Positive
Eric Clapton Shares His Personal Experience Regarding His Averse Reaction To The AstraZeneca Jab Within Several Hours &amp; Ho…,Mon Jun 28 11:02:51 +0000 2021,"Ohio, USA",0.0,0.15,Neutral
"There goes the ""Vaccine will free you from lockdowns."" ",,,,,
Pretty much nothing is going to change.,,,,,
"So to those people screamin…""",Mon Jun 28 11:05:03 +0000 2021,East Coast USA,0.2833333333333334,0.6666666666666666,Positive
"Thank you for your donation of 20,000 COVID-19 vaccine doses. The peoples and governments of Taiwan &amp; Lithuania stand togeth…",Mon Jun 28 11:05:23 +0000 2021,Phoenix Arizona,0.0,0.0,Neutral
6) wouldn’t it be wise for the CDC and MOHs of each country to take the precautionary principle and require masks again amo…,Mon Jun 28 11:07:15 +0000 2021,"Ormond Beach, FL",0.7,0.9,Positive
Research by the University of Oxford team that developed the AstraZeneca COVID-19 vaccine shows that giving a third dose…,Mon Jun 28 11:08:51 +0000 2021,CA AZ WA NE 🇺🇸,0.05,0.15,Positive
"AstraZeneca Booster Shot Lifts Immune Response, Study Finds",Mon Jun 28 11:09:38 +0000 2021,USA,0.0,0.0,Neutral
"COVID-19 No need for booster AstraZeneca jab at the moment, says Oxford Vaccine Group – despite evidence it restor…",Mon Jun 28 11:12:32 +0000 2021,United States,0.0,0.0,Neutral
Tyberos - The Red Wake - Reaper Lord of the Void - Shade Lord of the Carcharodons Astra,,,,,
"carcharodons  warhammer40k htt…""",Mon Jun 28 11:12:58 +0000 2021,"Maine, USA or Northern NJ, USA",0.0,0.0,Neutral
"BreakingNews UK COVID19 No need for booster AstraZeneca vaccine at the moment, says OxfordVaccineGroup —d…",Mon Jun 28 11:13:12 +0000 2021,USA,0.0,0.0,Neutral
Breaking National cabinet has agreed on an indemnity scheme for GPs to give the AstraZeneca vaccine to Australians under the…,Mon Jun 28 11:13:19 +0000 2021,"Long Island, New York",0.0,0.0,Neutral
BREAKING Research shows a third dose of the AstraZeneca COVID19 vaccine at least six months after the second jab would boost…,Mon Jun 28 11:13:31 +0000 2021,"victor valley, CA",-0.09999999999999999,0.13333333333333333,Negative
"AstraZeneca Booster Shot Lifts Immune Response, Study Finds",Mon Jun 28 11:14:23 +0000 2021,United States,0.0,0.0,Neutral
"AstraZeneca Booster Shot Lifts Immune Response, Study Finds",Mon Jun 28 11:14:25 +0000 2021,United States,0.0,0.0,Neutral
"AstraZeneca Booster Shot Lifts Immune Response, Study Finds",Mon Jun 28 11:14:27 +0000 2021,United States,0.0,0.0,Neutral
3) One dose is simply not enough. 18-30% is pretty darn low efficacy for DeltaVariant infection. 2 dose please. Minimum. B…,Mon Jun 28 11:15:08 +0000 2021,"Palm Beach County, FL",0.08333333333333333,0.6,Positive
"Article about IVM &amp; conflicts of interest of WHO, Oxford Univ, Gates, McMaster Univ.  Oxford profits from AstraZeneca…",Mon Jun 28 11:16:26 +0000 2021,Alabama,0.0,0.0,Neutral
Lol stupid it's all about money for them,Mon Jun 28 11:16:55 +0000 2021,United States,5.551115123125783E-17,0.85,Positive
6) wouldn’t it be wise for the CDC and MOHs of each country to take the precautionary principle and require masks again amo…,Mon Jun 28 11:17:10 +0000 2021,United States,0.7,0.9,Positive
"So,  spent over half an hour tonight to tell us",,,,,
Covid vaccine now mandatory for aged care workers," long o…""",Mon Jun 28 11:17:23 +0000 2021,Mandurah WA,-0.10416666666666667,0.2666666666666667
Hey  how does it feel to be known to have selfishly pushed your way to the front of the  que…,Mon Jun 28 11:17:59 +0000 2021,"Blue Earth, MN",-0.5,1.0,Negative
BREAKING Research shows a third dose of the AstraZeneca COVID19 vaccine at least six months after the second jab would boost…,Mon Jun 28 11:18:40 +0000 2021,United States,-0.09999999999999999,0.13333333333333333,Negative
Off to bathe in AstraZeneca,Mon Jun 28 11:18:47 +0000 2021,"Perth, WA",0.0,0.0,Neutral
Medical receptionists across Australia tonight... COVID19Aus,Mon Jun 28 11:20:36 +0000 2021,Mandurah WA,0.0,0.0,Neutral
"Musician, 48, died of brain bleed two weeks after AstraZeneca jab  via",Mon Jun 28 11:20:38 +0000 2021,"New York, USA",0.0,0.0,Neutral
"I know you never hear these words together, but we have a  *paid* position for a *poet*! Come help us make a magazine.",Mon Jun 28 11:22:06 +0000 2021,Minnesota,0.0,0.0,Neutral
16) this is why we must still mask. 1 dose efficacy is just too low. Even 2 dose efficacy doesn’t prevent transmission airt…,Mon Jun 28 11:22:13 +0000 2021,"St. Louis, MO",0.0,0.3,Neutral
"woah i thought two dose pfizer was 83-88% effective against delta like a few days ago? now it’s 79% scary, that’s like a…",Mon Jun 28 11:24:12 +0000 2021,NC,-0.03333333333333335,0.6333333333333333,Negative
6) wouldn’t it be wise for the CDC and MOHs of each country to take the precautionary principle and require masks again amo…,Mon Jun 28 11:24:57 +0000 2021,United States,0.7,0.9,Positive
6) wouldn’t it be wise for the CDC and MOHs of each country to take the precautionary principle and require masks again amo…,Mon Jun 28 11:25:30 +0000 2021,"Louisiana, but Georgia in ‘22",0.7,0.9,Positive
"Mother-of-three, 47, dies after AstraZeneca Covid jab caused blood clots on her brain",Mon Jun 28 11:27:11 +0000 2021,United States,0.0,0.0,Neutral
Most COVAX Vaccine Recipients Excluded From New EU COVID 'Green Pass' - Thanks to Unapproved AstraZeneca Jab,Mon Jun 28 11:28:01 +0000 2021,USA and Kenya,0.1590909090909091,0.36363636363636365,Positive
Are you fighting a pandemic or it just a very easy way to sell vaccines? This is longer about Covid19 virus but pol…,Mon Jun 28 11:28:35 +0000 2021,United States,0.5633333333333334,1.0,Positive
"And, we're off",Mon Jun 28 11:28:51 +0000 2021,"East Coast, USA",0.0,0.0,Neutral
Poetry Editor part-time/paid position open at ASTRA MAGAZINE poetrycommunity poetrytips editors…,Mon Jun 28 11:30:04 +0000 2021,"Provo, UT",0.0,0.5,Neutral
"Happy birthday , Thanks for all the amazing things you are doing and have done! Looking forward to the Starship launch! Ad Astra",Mon Jun 28 11:30:47 +0000 2021,United States,0.6458333333333334,0.7000000000000001,Positive
