text,date,location,polarity,subjectivity,classification
Australia is the opposite of the GoldStandard when it comes to vaccine rollouts.,,,,,
"vaccinations AstraZeneca Pfizer Sc…""",Mon Jun 28 10:01:54 +0000 2021,"Terrigal, Central Coast",0.0,0.0,Neutral
"Less than a quarter of our population has had one dose of the vaccine, ONE. DOSE. ",,,,,
"Disgraceful neglect doesn’t eve…""",Mon Jun 28 10:01:56 +0000 2021,"Melbourne, Victoria",-0.16666666666666666,0.06666666666666667,Negative
Breaking National cabinet has agreed on an indemnity scheme for GPs to give the AstraZeneca vaccine to Australians under the…,Mon Jun 28 10:02:02 +0000 2021,Melbourne / Kuala Lumpur,0.0,0.0,Neutral
"This is great but man, boomers really expect young people in this country to take on every bit of risk for them. Ec…",Mon Jun 28 10:02:03 +0000 2021,"Sydney, New South Wales",0.3666666666666667,0.45,Positive
The Prime Minister (ScottyTheAnnouncer) uses a lot of words to say very little or provide granular information tha…,Mon Jun 28 10:02:03 +0000 2021,Nanya,-0.24375000000000002,0.65,Negative
About time!,Mon Jun 28 10:02:04 +0000 2021,"sydney, australia",0.0,0.0,Neutral
Commonwealth no fault indemnity scheme for GP’s across the country to administer vaccines. ,,,,,
"Anyone of any age (approved fo…""",Mon Jun 28 10:02:04 +0000 2021,She/They,0.0,0.0,Neutral
Plenty of AstraZeneca vaccine around &amp; taking the 2nd shot protects you 92% (vs 70% after 1 dose) from being hospitalize…,Mon Jun 28 10:02:06 +0000 2021,"Bali, Indonesia",0.0,0.0,Neutral
"With shifting government messaging and a lot of misinformation about efficacy, some people are cancelling or delaying t…",Mon Jun 28 10:02:11 +0000 2021,Australia,0.0,0.0,Neutral
Breaking National cabinet has agreed on an indemnity scheme for GPs to give the AstraZeneca vaccine to Australians under the…,Mon Jun 28 10:02:11 +0000 2021,"Newcastle, Australia",0.0,0.0,Neutral
"Last week we administered our highest level of vaccinations to date at almost 350,000. In 4 of the past 7 days we admin…",Mon Jun 28 10:02:14 +0000 2021,Stepaside,-0.125,0.15833333333333333,Negative
Good announcement by Morrison government will create an indemnity scheme so GPs can give AstraZeneca vaccine to people u…,Mon Jun 28 10:02:15 +0000 2021,Australia,0.7,0.6000000000000001,Positive
This is the yarn that seemed to get buried in everything the PM said  because he has difficulty getting to the main poin…,Mon Jun 28 10:02:17 +0000 2021,"Melbourne, Victoria",0.033333333333333326,0.26666666666666666,Positive
“Over 70s… AstraZeneca is for that group in particular.” - Morrison,,,,,
I don’t think Oxford University, AstraZeneca,"…""",Mon Jun 28 10:02:17 +0000 2021,The LAN Down Under,0.16666666666666666
Just 0.8% of U.S. COVID19 deaths are fully vaccinated people. ,,,,,
"BUT nearly a third of deaths now…""",Mon Jun 28 10:02:18 +0000 2021,Vagabond,0.0,0.0,Neutral
The messaging and lack of consistency on use of AstraZeneca vaccine is a complete mess. No wonder there is so much hesitancy.,Mon Jun 28 10:02:19 +0000 2021,Melbourne,0.04166666666666668,0.2583333333333333,Positive
Commonwealth no fault indemnity scheme for GP’s across the country to administer vaccines. ,,,,,
"Anyone of any age (approved fo…""",Mon Jun 28 10:02:24 +0000 2021,"Unterfranken, Deutschland",0.0,0.0,Neutral
BREAKING No fault indemnity scheme for GPs so under 60s can discuss getting AstraZeneca with their doctors.,Mon Jun 28 10:02:24 +0000 2021,Unceded land,0.0,0.0,Neutral
ScoMo but have read my earlier tweet,Mon Jun 28 10:02:25 +0000 2021,"West Midlands, England",0.0,0.5,Neutral
'FASCINATING WAR TECHNIQUES  MAHBHARATA,,,,,
-What is Rathi &amp; a MAHARATHI? (Mathematically),,,,,
"-What types of WEAPONS (SHASTRA…""",Mon Jun 28 10:02:26 +0000 2021,"Bengaluru, India",0.35,0.42500000000000004,Positive
"Wasn’t this happening already? They let me get AZ when I did a walk in, on the condition that I understood the risk…",Mon Jun 28 10:02:27 +0000 2021,"Melbourne, Australia",0.0,0.0,Neutral
🌟AstraZeneca walk-in vaccination clinics this week🌟,,,,,
➡️ Where? Ashton Gate,,,,,
➡️ When? Mon 28 June - Fri 2 July," 5pm -…""",Mon Jun 28 10:02:27 +0000 2021,Bristol,0.0,0.0
Ok this bit is good,Mon Jun 28 10:02:30 +0000 2021,Sydney,0.6,0.55,Positive
