text,date,location,polarity,subjectivity,classification
"💉 Community pharmacies can begin issuing Janssen vaccines to 18-34-year-olds from MONDAY,  tells …",Fri Jul 02 08:04:57 +0000 2021,"Kerry, Ireland",0.0,0.0,Neutral
⚡️ Pharmacies can begin issuing Janssen vaccines to 18-34 year olds from Monday.,,,,,
" on Morning Ireland""",Fri Jul 02 08:04:57 +0000 2021,Ireland,0.0,0.0,Neutral
💉 And then from Monday the 12th,,,,,
"18-34 year olds can register online and opt in if they’d like to get an AstraZeneca or…""",Fri Jul 02 08:05:01 +0000 2021,Ireland,0.0,0.0,Neutral
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:05:01 +0000 2021,"Dublin, Ireland",0.375,0.875,Positive
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:05:10 +0000 2021,"Dublin City, Ireland",0.375,0.875,Positive
3. 300 000 JnJ vaccines have been administered so far in the basic education sector. Second Pfizer vaccinations started on…,Fri Jul 02 08:05:10 +0000 2021,"Pretoria, South Africa",0.03333333333333333,0.375,Positive
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:05:14 +0000 2021,"Dublin City, Ireland",0.375,0.875,Positive
Okay but why does it say 18-34 can register for Janssen but preferably 16-49 should get an mRNA vaccine 😭 just give…,Fri Jul 02 08:05:14 +0000 2021,"Cork, Ireland",0.5,0.5,Positive
Significant acceleration of our vaccine programme ,,,,,
"* 18-34-year-olds can begin to access Janssen vaccine in pharmaci…""",Fri Jul 02 08:05:16 +0000 2021,Ireland,0.375,0.875,Positive
"💉 Community pharmacies can begin issuing Janssen vaccines to 18-34-year-olds from MONDAY,  tells …",Fri Jul 02 08:05:18 +0000 2021,she/her,0.0,0.0,Neutral
"Johnson &amp; Johnson (JNJ.N) said late Thursday that its single-shot COVID-19 vaccine generated strong, persistent activit…",Fri Jul 02 08:05:19 +0000 2021,Cape Town,0.06666666666666665,0.6666666666666666,Positive
"2. Early lab data shows that the JnJ vaccine works against both the Beta and Delta variants, but better against the DeltaVa…",Fri Jul 02 08:05:20 +0000 2021,"Alexandria, VA",0.3,0.4,Positive
Thank you  for NTFIVUganda,,,,,
"Special thanks go to       Fre…""",Fri Jul 02 08:05:22 +0000 2021,Kireka,0.2785714285714286,0.3857142857142857,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:23:25 +0000 2021,"Akure, Nigeria",0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:23:26 +0000 2021,Earth,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:23:28 +0000 2021,"Mumbai, India",0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:23:29 +0000 2021,Some where in the 🌍,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:23:30 +0000 2021,🇺🇸🇳🇬,0.6,0.9,Positive
". The HSE has today resumed publication of detailed vaccination data, after a pause since May 11, due to the cybe…",Thu Jul 01 10:23:37 +0000 2021,"Dublin City, Ireland",0.1375,0.5625,Positive
". The HSE has today resumed publication of detailed vaccination data, after a pause since May 11, due to the cybe…",Thu Jul 01 10:23:39 +0000 2021,"Carrigaline, Co. Cork, ireland",0.1375,0.5625,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:23:41 +0000 2021,Other side of fear 🤓,0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
"…""",Thu Jul 01 10:23:42 +0000 2021,"Islamabad, Pakistan",0.6,0.9,Positive
Football jerseys 21/22 season,,,,,
🏷 ₦4500,,,,,
Send a dm to order,,,,,
☎️ 08032685322,,,,,
Delivery is nationwide 🇳🇬,,,,,
Kindly help me Retweet 🙏,,,,,
