text,date,location,polarity,subjectivity,classification
"My colleague and his wife, one with Pfizer and the other with Astra zeneca both double vaccinated have…",Fri Jul 02 09:00:57 +0000 2021,"Scotland, United Kingdom",-0.0625,0.1875,Negative
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 09:01:03 +0000 2021,UK,-0.05,0.7,Negative
Is now a fully vaccinated gay and the network reception is incredible!,,,,,
"fridaymorning Pfizer COVID19…""",Fri Jul 02 09:01:08 +0000 2021,Manchester,0.7083333333333334,0.7416666666666667,Positive
Do I cop the Irn Bru &amp; Pfizer collab tho?,Fri Jul 02 09:01:09 +0000 2021,"Glasgow, Scotland",0.0,0.0,Neutral
🚶‍♀️🚶‍♂️ COVID-19 vaccination walk-in clinics available in West Lancs today,,,,,
"📍 Edge Hill Uni (1st &amp; 2nd dose AZ - 40+ onl…""",Fri Jul 02 09:01:15 +0000 2021,"Skelmersdale, UK",0.2,0.2,Positive
The one thing that was going mildly well was the vaccination process and now they've even…,Fri Jul 02 09:01:21 +0000 2021,"23 Piss Off Ave, London W Fuck",0.3333333333333333,0.5,Positive
Plan. 1. Buy a lot of Pfizer - including the coming booster - enough to fully vaccinate all Austra…,Fri Jul 02 09:01:25 +0000 2021,Gibbergunyah Down Under,0.0,0.5,Neutral
Aged 18+? Drop-in to St. Mark's Methodist Church N17 (9am-5pm) or Bounds Green Group Practice N11 (1pm-4.30pm) &amp; get…,Fri Jul 02 09:01:28 +0000 2021,"London, England",-0.15000000000000002,0.35,Negative
"Excellent much needed gift. These 2,5 million doses of Moderna in addition to earlier  2.5 million Pfizer vaccines and U…",Fri Jul 02 09:01:30 +0000 2021,United Kingdom,0.39999999999999997,0.5666666666666667,Positive
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 09:01:31 +0000 2021,"Norwich, England",-0.05,0.7,Negative
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 09:01:41 +0000 2021,"South East, England",-0.05,0.7,Negative
JUST IN - Pfizer and its German partner BioNTech plan to ask for FDA emergency use authorization of its COVID19 vaccine in…,Fri Jul 02 09:01:50 +0000 2021,UK - ENGLAND,0.0,0.0,Neutral
"THE LATEST GOVT DATA FOR PFIZER DEATHS AND DRUG REACTIONS - 425 reported deaths, 210,168 reactions. Why is this not on…",Wed Jun 30 09:42:00 +0000 2021,United Kingdom,0.5,0.9,Positive
Absolutely fantastic short film illustrates the current affairs 😂 Pfizer Moderna mRNA AstraZeneca,Wed Jun 30 09:42:04 +0000 2021,England,0.13333333333333333,0.5333333333333333,Positive
***Please *** ,,,,,
If you, or anyone you know is over 18 and haven't had a first dose of the covid vaccine yet," please vis…""",Wed Jun 30 09:42:30 +0000 2021,"Oldham, England",0.25
📣📣 Heads up Welwyn Hatfield! Get your Pfizer vaccination THIS AFTERNOON (Wed 30 June) at Roche Pharmaceuticals vaccination…,Wed Jun 30 09:42:34 +0000 2021,"Cambridge, UK",0.0,0.0,Neutral
He’s prepping for the 4th quarter Pfizer bonus for the booster. He has no time for this.,Wed Jun 30 09:42:38 +0000 2021,The Upside Down,0.0,0.0,Neutral
📣📣 Pfizer COVID vaccinations available in Ware TODAY (Wednesday 30 June). No appointment needed! Open to anyone aged 18+ wh…,Wed Jun 30 09:42:40 +0000 2021,"Cambridge, UK",0.13333333333333333,0.43333333333333335,Positive
NEW 🚨 Rare heart inflammation linked to Pfizer and Moderna Covid vaccines is six times more likely to occur after seco…,Wed Jun 30 09:42:46 +0000 2021,"Islington, London",0.23409090909090907,0.7136363636363636,Positive
"GrabAJab at the Doddington Vaccination Centre (Doddington Hospital) walk-in Covid-19 vaccination clinic this Friday, 2…",Wed Jun 30 09:42:50 +0000 2021,"Fenland, Cambridgeshire",0.0,0.0,Neutral
Grab a Jab as well as your shopping at Redhill Market on Thursday and Saturday this week only.,,,,,
"A pop-up vaccination…""",Wed Jun 30 09:42:54 +0000 2021,"Reigate, Surrey",0.0,1.0,Neutral
YABBA JABBA TWO!,,,,,
Pfizer  AND Astra Zeneca Walk-in Covid19 Vaccination Clinic,,,,,
Selhurst Park Stadium  ,,,,,
"Wednesday 30…""",Fri Jul 02 08:51:55 +0000 2021,London,0.0,0.0,Neutral
Haven't had your CovidVaccine yet? There's a pop-up clinic TODAY on William Barefoot Drive (mobile unit on the grass ver…,Fri Jul 02 08:51:59 +0000 2021,"Greenwich, London",0.0,0.0,Neutral
"Prion proteins form when RNA escapes outside of cells, as in Moderna/Pfizer. ~ Prof. Richard Fleming",Fri Jul 02 08:52:05 +0000 2021,"South West, England, Cornwall",0.0,0.05,Neutral
Thanks to  for helping promote our walk-in vaccine clinics! Whichever team you support get yourself down to Hills…,Fri Jul 02 08:52:16 +0000 2021,UK & Ireland,0.04722222222222221,0.24444444444444446,Positive
"📢 After the success of the last two, we have teamed up once again with  to host a walk-in vaccination sessio…",Fri Jul 02 08:52:20 +0000 2021,"Merton, London",0.15,0.03333333333333333,Positive
"Walk-in vaccination session will run Tomorrow July 2 at Wimbledon Mosque, SW19 8DS from 3.30pm till 9pm. Open to Age 18 and…",Fri Jul 02 08:52:23 +0000 2021,"Merton, London",0.0,0.5,Neutral
It doesn’t make any sense when they don’t seem at all concerned about children being exposed to infect…,Fri Jul 02 08:52:28 +0000 2021,United Kingdom,0.0,0.0,Neutral
COVID VACCINE WALK IN CLINICS TODAY,,,,,
"Aged 18+ living or working in Wigan Borough? Get your 1st vaccine (Pfizer) today…""",Fri Jul 02 08:52:41 +0000 2021,"Aspull, England",-0.1,0.4,Negative
"READ Three vaccination sites are running 'drop-in' Pfizer clinics across this weekend in the Gloucester, Stroud and Cirencest…",Fri Jul 02 08:52:45 +0000 2021,Devon,0.0,0.0,Neutral
Anti-vaxx Island ex-Pfizer exec behind infertility claims to build Zanzibar resort for conspiracy theorists,Fri Jul 02 08:59:58 +0000 2021,London,-0.4,0.7,Negative
"If you are over 18 and want to get your first Pfizer Covid-19 vaccine dose, please come and visit us tomorrow Satur…",Fri Jul 02 09:00:00 +0000 2021,"Lincoln, UK",0.25,0.3333333333333333,Positive
❓ Do you live in Blackpool?,,,,,
"☺️ Come along to this mobile vaccination clinic &amp; get your first dose of the Pfizer ja…""",Fri Jul 02 09:00:00 +0000 2021,Lancashire,0.19318181818181818,0.41666666666666663,Positive
is running a Pfizer walk-in vaccination clinic today for adults aged 18-39 who have not yet had their fir…,Fri Jul 02 09:00:01 +0000 2021,Shropshire,-0.1,0.4,Negative
The COVID19Vaccination Pfizer walk-in clinic at ,,,,,
 is open today until Saturday 3rd July," 830am - 6…""",Fri Jul 02 09:00:02 +0000 2021,London Borough of Sutton,0.0,0.25
"The number of those reported dead so far after the administration of AZ &amp; Pfizer vaccines, about 1,400, almost exactly…",Fri Jul 02 09:00:04 +0000 2021,London,-0.05,0.7,Negative
"No only Pfizer and moderna are spike protein vax. AZ is a viral load vax like the flu,…",Fri Jul 02 09:00:06 +0000 2021,England,0.0,1.0,Neutral
JUST IN - Pfizer and its German partner BioNTech plan to ask for FDA emergency use authorization of its COVID19 vaccine in…,Fri Jul 02 09:00:13 +0000 2021,Georgous Devon,0.0,0.0,Neutral
"My colleague and his wife, one with Pfizer and the other with Astra zeneca both double vaccinated…",Fri Jul 02 09:00:21 +0000 2021,"Scotland, United Kingdom",-0.0625,0.1875,Negative
12-year-old Maddie was enrolled in the Pfizer COVID-19 vaccine clinical trial. ,,,,,
She's now in a wheelchair, has an NG tube,"…""",Wed Jun 30 09:56:58 +0000 2021,"Hatfield, England",0.0
. still claiming these vaccines are safe? Curious 🤔,Wed Jun 30 09:57:20 +0000 2021,Lincolnshire,0.2,0.75,Positive
