text,date,location,polarity,subjectivity,classification
"Pfizer and Moderna COVID vaccines produce immune response that may provide years of protection from virus, new study fin…",Tue Jun 29 08:14:54 +0000 2021,Houilles,0.13636363636363635,0.45454545454545453,Positive
About half of adults infected in an outbreak of the Delta variant of Covid-19 in Israel were fully inoculated with the Pfizer  vac…,Tue Jun 29 08:15:01 +0000 2021,"Greenville, SC",-0.16666666666666666,0.16666666666666666,Negative
I booked in two Pfizer shots today,Tue Jun 29 08:15:02 +0000 2021,Bathtub full of piss,0.0,0.0,Neutral
Rollout of the second dose of Pfizer only started yesterday across the country. What do you mean by second vaccine?,Tue Jun 29 08:15:06 +0000 2021,"Pretoria, South Africa",-0.078125,0.421875,Negative
.,,,,,
"The Pfizer &amp; Moderna COVID19Vaccines are both doing a great j…""",Tue Jun 29 08:15:06 +0000 2021,pinging off cell towers,0.8,0.75,Positive
‼️Walk in 1st &amp; 2nd Pfizer clinic TODAY (29 Jun)‼️,,,,,
Elizabethan Suite, BL9 0SW,,,,
10am - 8pm ✔️,,,,,
For anyone 18+ 👍,,,,,
"Second…""",Tue Jun 29 08:15:08 +0000 2021,"Bury, England",0.0,0.0,Neutral
"One week later what I find funny is, they asked me if I was scared of needles. Lol I have 8 piercings, I can safely…",Tue Jun 29 08:15:10 +0000 2021,"Durham, England",0.35000000000000003,0.5666666666666667,Positive
JUST IN New study in the UK shows mixing Pfizer or Astrazeneca coronavirus vaccines offers good protection,Tue Jun 29 08:15:17 +0000 2021,Italy,0.3121212121212121,0.35151515151515156,Positive
"NEW FDA adds heart inflammation warning to Pfizer, Moderna COVID-19 vaccines",Tue Jun 29 08:15:18 +0000 2021,Caracas,0.13636363636363635,0.45454545454545453,Positive
A lot of heart issues being reported in the young after taking the Pfizer jab. Is it really worth it? Is this just a ticki…,Tue Jun 29 08:15:19 +0000 2021,West Sussex,0.2,0.25,Positive
It's not over. Stay safe - wear a mask and meet outdoors if you can.,Tue Jun 29 08:15:19 +0000 2021,Luxembourg,0.5,0.5,Positive
Please report this 👇👇,,,,,
"Former Pfizer VP answers Reuters 'fact checker' 'A pack of lies'""",Tue Jun 29 08:15:24 +0000 2021,Scotland.,0.0,0.0,Neutral
6) Also as a policy decision this govt would do well to put aside it “make in India” &amp; related political sentiments asi…,Tue Jun 29 08:15:24 +0000 2021,India,0.0,0.25,Neutral
Best advice from a real Doctor!,Tue Jun 29 08:15:24 +0000 2021,"Hyderabad, India",0.625,0.30000000000000004,Positive
"Dear Pfizer, Moderna, J&amp;J , Can you please negotiate directly with our state governments for vaccines, if you’re allowed t…",Tue Jun 29 08:15:25 +0000 2021,North Brisbane,0.1,0.4,Positive
"Mixing Pfizer, AstraZeneca Vaccines Gives Strong Covid Protection, Study Finds - The New York Times",Tue Jun 29 08:15:29 +0000 2021,"Jaipur, India",0.2848484848484848,0.5939393939393939,Positive
