text,date,location,polarity,subjectivity,classification
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:43:57 +0000 2021,"Johannesburg, South Africa",0.5,0.5,Positive
🤞🏾this is true.,,,,,
"Pfizer and Moderna vaccines may protect against COVID-19 for years  via""",Mon Jun 28 14:43:57 +0000 2021,United States,0.35,0.65,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:43:57 +0000 2021,Mexico,0.5,0.5,Positive
Great news — Pfizer &amp; Moderna vaccines may protect the body for years ... Yay science,Mon Jun 28 14:43:58 +0000 2021,World,0.8,0.75,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:43:58 +0000 2021,"Südlich von München, Bayern",0.5,0.5,Positive
"I should be somewhat annoyed I went for Astra Zeneca after reading  this, but hindsight is always 20/20. It was onl…",Mon Jun 28 14:43:59 +0000 2021,"Region Of Waterloo, Canada",-0.4,0.8,Negative
You truly love to see it,Mon Jun 28 14:44:02 +0000 2021,Toronto,0.5,0.6,Positive
You truly love to see it,Mon Jun 28 14:44:02 +0000 2021,"Brooklyn, NY",0.5,0.6,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:03 +0000 2021,"Philadelphia, PA",0.5,0.5,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:04 +0000 2021,"Lima, Perú",0.5,0.5,Positive
"Well, good mRNAing to you, science!",Mon Jun 28 14:44:07 +0000 2021,Massachusetts,0.875,0.6000000000000001,Positive
"Galvez said over 90,000 Moderna vaccine which will arrive before the end of the month will be allocated for the OFWs.",Mon Jun 28 14:44:11 +0000 2021,"Makati, Philippines",0.0,0.0,Neutral
Who the hell made the decision to change the name of the Moderna vaccine to SPIKEWAX???? As an employee of a vaccin…,Mon Jun 28 14:44:12 +0000 2021,"Copenhagen, Denmark",0.0,0.0,Neutral
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:18 +0000 2021,"Medellín, Colombia",0.5,0.5,Positive
The “Find a Walk-In Centre” page on the NHS website mentions nothing about these restrictions. Just that the centre…,Mon Jun 28 14:44:18 +0000 2021,N16,0.0,0.0,Neutral
Need more data but promising early signs!,Mon Jun 28 14:44:19 +0000 2021,"Glasgow, Scotland",0.27499999999999997,0.43333333333333335,Positive
Great news!,,,,,
Pfizer and Moderna Vaccines Likely to Produce Lasting Immunity," Study Finds - The New York Times""",Mon Jun 28 14:44:19 +0000 2021,"Winnipeg, Treaty 1 territory",0.28409090909090906,0.5511363636363636
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:22 +0000 2021,New York City,0.5,0.5,Positive
The word “amazing” is not sufficient.,Mon Jun 28 14:44:23 +0000 2021,"Tallahassee, Florida",0.6000000000000001,0.9,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:23 +0000 2021,Copenhagen,0.5,0.5,Positive
"Galvez says 99,600 doses more of Moderna vaccines expected to arrived on June 29",,,,,
"COVID19vaccinePH""",Mon Jun 28 14:44:24 +0000 2021,Pasig City,0.2,0.45,Positive
"TOMORROW On Campus Vaccination Clinic, Tuesday, June 29",,,,,
"The clinic will be at the OMAC (235 Hope Street) from 12 p.m…""",Mon Jun 28 14:44:24 +0000 2021,"Providence, RI",0.0,0.0,Neutral
"The Pfizer &amp; Moderna shots’ effects could last for years, a detailed look at immune responses suggests  — evidence that m…",Mon Jun 28 14:44:27 +0000 2021,"New York, United States",0.2,0.4083333333333333,Positive
Breakdown by acquisition,,,,,
Procured — 11,429,600 (65.48%),,,
COVAX — 5,025,870 (28.79%),,,
Donated — 1,000,000 (5.73%),,,
"Of the…""",Mon Jun 28 14:44:31 +0000 2021,Manila,0.0,0.0,Neutral
